theme,catalyst,investigation_pathway,business_tag,display_order,mapping_status
Energy,Energy storage adoption,Utilities,utilities,50,active
Energy,Energy storage adoption,Renewable Energy,renewable_energy,60,active
Energy,Energy storage adoption,Electric Vehicles,electric_vehicles,70,active
Energy,Energy storage adoption,Recycling,recycling,80,active
Energy,Energy storage adoption,Engineering,engineering_services,90,active
Energy,Energy storage adoption,Manufacturing,contract_manufacturing,100,active
Energy,Refining capacity constraints,Refining,refining,10,active
Energy,Refining capacity constraints,Fuel Distribution,fuel_distribution,20,active
Energy,Refining capacity constraints,Airlines,airlines,30,active
Energy,Refining capacity constraints,Road Freight,road_freight,40,active
Energy,Refining capacity constraints,Shipping,freight_transport,50,active
Energy,Refining capacity constraints,Chemicals,chemicals,60,active
Energy,Refining capacity constraints,Fuel Retail,fuel_retail,70,active
Energy,Refining capacity constraints,Logistics,logistics,80,active
Energy,Refining capacity constraints,Agriculture,agriculture,90,active
Energy,Refining capacity constraints,Consumer Spending,retail,100,active
Technology,AI infrastructure investment,Semiconductors,semiconductors,10,active
Technology,AI infrastructure investment,AI Accelerators,semiconductors,20,active
Technology,AI infrastructure investment,Networking,networking,30,active
Technology,AI infrastructure investment,Photonics,photonics,40,active
Technology,AI infrastructure investment,Data Centres,data_centres,50,active
Technology,AI infrastructure investment,Power Infrastructure,power_systems,60,active
Technology,AI infrastructure investment,Cooling,thermal_management,70,active
Technology,AI infrastructure investment,Cloud Infrastructure,cloud_infrastructure,80,active
Technology,AI infrastructure investment,Engineering Services,engineering_services,90,active
Technology,AI infrastructure investment,Industrial Automation,industrial_automation,100,active
Technology,Cloud spending accelerating,Cloud Infrastructure,cloud_infrastructure,10,active
Technology,Cloud spending accelerating,Enterprise Software,enterprise_software,20,active
Technology,Cloud spending accelerating,Data Centres,data_centres,30,active
Technology,Cloud spending accelerating,Networking,networking,40,active
Technology,Cloud spending accelerating,Cybersecurity,cybersecurity,50,active
Technology,Cloud spending accelerating,Data Storage,data_storage,60,active
Technology,Cloud spending accelerating,Power Infrastructure,power_systems,70,active
Technology,Cloud spending accelerating,Cooling,thermal_management,80,active
Technology,Cloud spending accelerating,IT Services,it_services,90,active
Technology,Cloud spending accelerating,Managed Services,managed_services,100,active
Technology,Semiconductor demand increasing,Semiconductor Design,semiconductor_design,10,active
Technology,Semiconductor demand increasing,Foundry Services,foundry_services,20,active
Technology,Semiconductor demand increasing,Semiconductor Equipment,semiconductor_equipment,30,active
Technology,Semiconductor demand increasing,Semiconductor Materials,semiconductor_materials,40,active
Technology,Semiconductor demand increasing,Electronic Test Equipment,electronic_test_equipment,50,active
Technology,Semiconductor demand increasing,Contract Manufacturing,contract_manufacturing,60,active
Technology,Semiconductor demand increasing,Industrial Automation,industrial_automation,70,active
Technology,Semiconductor demand increasing,Consumer Electronics,consumer_electronics,80,active
Technology,Semiconductor demand increasing,Automotive Electronics,automotive_electronics,90,active
Technology,Semiconductor demand increasing,Networking,networking,100,active
Technology,Enterprise software investment,Enterprise Software,enterprise_software,10,active
Technology,Enterprise software investment,Cloud Services,cloud_services,20,active
Technology,Enterprise software investment,Cybersecurity,cybersecurity,30,active
Technology,Enterprise software investment,IT Services,it_services,40,active
Technology,Enterprise software investment,Consulting,consulting,50,active
Technology,Enterprise software investment,Data Analytics,data_analytics,60,active
Technology,Enterprise software investment,Artificial Intelligence,artificial_intelligence,70,active
Technology,Enterprise software investment,Networking,networking,80,active
Technology,Enterprise software investment,Data Storage,data_storage,90,active
Technology,Enterprise software investment,Digital Transformation,digital_transformation,100,active
Technology,Cybersecurity investment,Cybersecurity,cybersecurity,10,active
Technology,Cybersecurity investment,Identity Security,identity_security,20,active
Technology,Cybersecurity investment,Cloud Security,cloud_security,30,active
Technology,Cybersecurity investment,Networking,networking,40,active
Technology,Cybersecurity investment,Physical Security,physical_security,50,active
Technology,Cybersecurity investment,Data Infrastructure,data_infrastructure,60,active
Technology,Cybersecurity investment,Managed Services,managed_services,70,active
Technology,Cybersecurity investment,Government Technology,government_technology,80,active
Technology,Cybersecurity investment,Enterprise Software,enterprise_software,90,active
Technology,Cybersecurity investment,Risk Management,risk_management,100,active
Technology,Data centre expansion,Data Centres,data_centres,10,active
Technology,Data centre expansion,Power Infrastructure,power_systems,20,active
Technology,Data centre expansion,Cooling,thermal_management,30,active
Technology,Data centre expansion,Networking,networking,40,active
Technology,Data centre expansion,Semiconductors,semiconductors,50,active
Technology,Data centre expansion,Construction,infrastructure_engineering,60,active
Technology,Data centre expansion,Engineering Services,engineering_services,70,active
Technology,Data centre expansion,Industrial Equipment,industrial_equipment,80,active
Technology,Data centre expansion,Photonics,photonics,90,active
Technology,Data centre expansion,Utilities,utilities,100,active
Technology,Consumer electronics demand,Consumer Electronics,consumer_electronics,10,active
Technology,Consumer electronics demand,Semiconductors,semiconductors,20,active
Technology,Consumer electronics demand,Electronic Components,electronic_components,30,active
Technology,Consumer electronics demand,Memory,memory,40,active
Technology,Consumer electronics demand,Battery Storage,battery_storage,50,active
Technology,Consumer electronics demand,Logistics,logistics,60,active
Technology,Consumer electronics demand,Retail,retail,70,active
Technology,Consumer electronics demand,Ecommerce,ecommerce,80,active
Technology,Consumer electronics demand,Contract Manufacturing,contract_manufacturing,90,active
Technology,Consumer electronics demand,Technology Distribution,technology_distribution,100,active
Technology,Digital payments growth,Payment Networks,payment_networks,10,active
Technology,Digital payments growth,Payment Processing,payment_processing,20,active
Technology,Digital payments growth,Fintech,fintech,30,active
Technology,Digital payments growth,Commercial Banking,commercial_banking,40,active
Technology,Digital payments growth,Cybersecurity,cybersecurity,50,active
Technology,Digital payments growth,Cloud Services,cloud_services,60,active
Technology,Digital payments growth,Enterprise Software,enterprise_software,70,active
Technology,Digital payments growth,Digital Identity,digital_identity,80,active
Technology,Digital payments growth,Retail,retail,90,active
Technology,Digital payments growth,Ecommerce,ecommerce,100,active
Technology,Network infrastructure upgrades,Networking,networking,10,active
Technology,Network infrastructure upgrades,Photonics,photonics,20,active
Technology,Network infrastructure upgrades,Telecommunications,telecommunications,30,active
Technology,Network infrastructure upgrades,Semiconductors,semiconductors,40,active
Technology,Network infrastructure upgrades,Power Equipment,electrical_equipment,50,active
Technology,Network infrastructure upgrades,Engineering Services,engineering_services,60,active
Technology,Network infrastructure upgrades,Construction,infrastructure_engineering,70,active
Technology,Network infrastructure upgrades,Cloud Infrastructure,cloud_infrastructure,80,active
Technology,Network infrastructure upgrades,Cybersecurity,cybersecurity,90,active
Technology,Network infrastructure upgrades,Industrial Automation,industrial_automation,100,active
Technology,Technology regulation,Enterprise Software,enterprise_software,10,active
Technology,Technology regulation,Cybersecurity,cybersecurity,20,active
Technology,Technology regulation,Cloud Services,cloud_services,30,active
Technology,Technology regulation,Semiconductors,semiconductors,40,active
Technology,Technology regulation,Digital Media,digital_media,50,active
Technology,Technology regulation,Digital Advertising,digital_advertising,60,active
Technology,Technology regulation,Risk Management,risk_management,70,active
Technology,Technology regulation,Legal Information,legal_information,80,active
Technology,Technology regulation,Consulting,consulting,90,active
Technology,Technology regulation,Digital Identity,digital_identity,100,active
Consumer,Consumer spending strengthening,Retail,retail,10,active
Consumer,Consumer spending strengthening,Restaurants,restaurants,20,active
Consumer,Consumer spending strengthening,Travel Services,travel_services,30,active
Consumer,Consumer spending strengthening,Live Entertainment,live_entertainment,40,active
Consumer,Consumer spending strengthening,Consumer Electronics,consumer_electronics,50,active
Consumer,Consumer spending strengthening,Ecommerce,ecommerce,60,active
Consumer,Consumer spending strengthening,Payments,payments,70,active
Consumer,Consumer spending strengthening,Logistics,logistics,80,active
Consumer,Consumer spending strengthening,Advertising,advertising,90,active
Consumer,Consumer spending strengthening,Consumer Goods,consumer_goods,100,active
Consumer,Consumer spending weakening,Discount Retail,discount_retail,10,active
Consumer,Consumer spending weakening,Consumer Food,consumer_food,20,active
Consumer,Consumer spending weakening,Household Products,household_products,30,active
Consumer,Consumer spending weakening,Utilities,utilities,40,active
Consumer,Consumer spending weakening,Telecommunications,telecommunications,50,active
Consumer,Consumer spending weakening,Consumer Healthcare,consumer_healthcare,60,active
Consumer,Consumer spending weakening,Insurance,insurance,70,active
Consumer,Consumer spending weakening,Logistics,logistics,80,active
Consumer,Consumer spending weakening,Advertising,advertising,90,active
Consumer,Consumer spending weakening,Travel Services,travel_services,100,active
Consumer,Luxury demand increasing,Luxury Goods,luxury_goods,10,active
Consumer,Luxury demand increasing,Fashion Retail,fashion_retail,20,active
Consumer,Luxury demand increasing,Travel Services,travel_services,30,active
Consumer,Luxury demand increasing,Hotels,hotels,40,active
Consumer,Luxury demand increasing,Payments,payments,50,active
Consumer,Luxury demand increasing,Advertising,advertising,60,active
Consumer,Luxury demand increasing,Logistics,logistics,70,active
Consumer,Luxury demand increasing,Consumer Finance,consumer_finance,80,active
Consumer,Luxury demand increasing,Retail Real Estate,retail_real_estate,90,active
Consumer,Luxury demand increasing,Airlines,airlines,100,active
Consumer,Travel demand increasing,Airlines,airlines,10,active
Consumer,Travel demand increasing,Hotels,hotels,20,active
Consumer,Travel demand increasing,Restaurants,restaurants,30,active
Consumer,Travel demand increasing,Reservation Systems,reservation_systems,40,active
Consumer,Travel demand increasing,Car Rental,mobility,50,active
Consumer,Travel demand increasing,Cruise Lines,cruise_lines,60,active
Consumer,Travel demand increasing,Payments,payments,70,active
Consumer,Travel demand increasing,Fuel Distribution,fuel_distribution,80,active
Consumer,Travel demand increasing,Travel Technology,travel_technology,90,active
Consumer,Travel demand increasing,Live Entertainment,live_entertainment,100,active
Consumer,Restaurant spending growth,Restaurants,restaurants,10,active
Consumer,Restaurant spending growth,Food Distribution,food_distribution,20,active
Consumer,Restaurant spending growth,Agriculture,agriculture,30,active
Consumer,Restaurant spending growth,Packaging,packaging,40,active
Consumer,Restaurant spending growth,Payments,payments,50,active
Consumer,Restaurant spending growth,Retail,retail,60,active
Consumer,Restaurant spending growth,Commercial Real Estate,commercial_real_estate,70,active
Consumer,Restaurant spending growth,Logistics,logistics,80,active
Consumer,Restaurant spending growth,Advertising,advertising,90,active
Consumer,Restaurant spending growth,Consumer Finance,consumer_finance,100,active
Consumer,Retail footfall changing,Retail,retail,10,active
Consumer,Retail footfall changing,Shopping Centres,shopping_centres,20,active
Consumer,Retail footfall changing,Payments,payments,30,active
Consumer,Retail footfall changing,Advertising,advertising,40,active
Consumer,Retail footfall changing,Logistics,logistics,50,active
Consumer,Retail footfall changing,Consumer Goods,consumer_goods,60,active
Consumer,Retail footfall changing,Retail Real Estate,retail_real_estate,70,active
Consumer,Retail footfall changing,Physical Security,physical_security,80,active
Consumer,Retail footfall changing,Facilities Services,facilities_services,90,active
Consumer,Retail footfall changing,Food Services,food_services,100,active
Consumer,Ecommerce growth,Ecommerce,ecommerce,10,active
Consumer,Ecommerce growth,Logistics,logistics,20,active
Consumer,Ecommerce growth,Warehousing,logistics_real_estate,30,active
Consumer,Ecommerce growth,Payments,payments,40,active
Consumer,Ecommerce growth,Cloud Services,cloud_services,50,active
Consumer,Ecommerce growth,Packaging,packaging,60,active
Consumer,Ecommerce growth,Digital Advertising,digital_advertising,70,active
Consumer,Ecommerce growth,Retail,retail,80,active
Consumer,Ecommerce growth,Cybersecurity,cybersecurity,90,active
Consumer,Ecommerce growth,Data Analytics,data_analytics,100,active
Consumer,Housing-related spending,Homebuilding,homebuilding,10,active
Consumer,Housing-related spending,Construction Materials,construction_materials,20,active
Consumer,Housing-related spending,Home Improvement Retail,home_improvement_retail,30,active
Consumer,Housing-related spending,Home Furnishings,home_furnishings,40,active
Consumer,Housing-related spending,Consumer Electronics,consumer_electronics,50,active
Consumer,Housing-related spending,Mortgage Services,mortgage_services,60,active
Consumer,Housing-related spending,Insurance,insurance,70,active
Consumer,Housing-related spending,Construction,residential_construction,80,active
Consumer,Housing-related spending,Logistics,logistics,90,active
Consumer,Housing-related spending,Utilities,utilities,100,active
Consumer,Advertising demand changing,Digital Advertising,digital_advertising,10,active
Consumer,Advertising demand changing,Media Entertainment,media_entertainment,20,active
Consumer,Advertising demand changing,Social Platforms,social_platforms,30,active
Consumer,Advertising demand changing,Retail,retail,40,active
Consumer,Advertising demand changing,Consumer Goods,consumer_goods,50,active
Consumer,Advertising demand changing,Data Analytics,data_analytics,60,active
Consumer,Advertising demand changing,Cloud Services,cloud_services,70,active
Consumer,Advertising demand changing,Marketing,marketing,80,active
Consumer,Advertising demand changing,Telecommunications,telecommunications,90,active
Consumer,Advertising demand changing,Digital Content,digital_content,100,active
Consumer,Disposable income changing,Retail,retail,10,active
Consumer,Disposable income changing,Restaurants,restaurants,20,active
Consumer,Disposable income changing,Travel Services,travel_services,30,active
Consumer,Disposable income changing,Consumer Goods,consumer_goods,40,active
Consumer,Disposable income changing,Automotive Services,automotive_services,50,active
Consumer,Disposable income changing,Homebuilding,homebuilding,60,active
Consumer,Disposable income changing,Payments,payments,70,active
Consumer,Disposable income changing,Insurance,insurance,80,active
Consumer,Disposable income changing,Utilities,utilities,90,active
Consumer,Disposable income changing,Consumer Healthcare,consumer_healthcare,100,active
Healthcare,Ageing population,Hospitals,hospitals,10,active
Healthcare,Ageing population,Medical Devices,medical_devices,20,active
Healthcare,Ageing population,Diagnostics,diagnostics,30,active
Healthcare,Ageing population,Pharmaceuticals,pharmaceuticals,40,active
Healthcare,Ageing population,Biotechnology,biotechnology,50,active
Healthcare,Ageing population,Healthcare Services,healthcare_services,60,active
Healthcare,Ageing population,Health Insurance,health_insurance,70,active
Healthcare,Ageing population,Senior Housing,senior_housing,80,active
Healthcare,Ageing population,Digital Health,digital_health,90,active
Healthcare,Ageing population,Consumer Healthcare,consumer_healthcare,100,active
Healthcare,Drug approvals,Pharmaceuticals,pharmaceuticals,10,active
Healthcare,Drug approvals,Biotechnology,biotechnology,20,active
Healthcare,Drug approvals,Clinical Research,clinical_research,30,active
Healthcare,Drug approvals,Contract Manufacturing,contract_manufacturing,40,active
Healthcare,Drug approvals,Pharmaceutical Distribution,pharmaceutical_distribution,50,active
Healthcare,Drug approvals,Diagnostics,diagnostics,60,active
Healthcare,Drug approvals,Hospitals,hospitals,70,active
Healthcare,Drug approvals,Drug Delivery,drug_delivery,80,active
Healthcare,Drug approvals,Regulatory Services,testing_certification,90,active
Healthcare,Drug approvals,Rare Diseases,rare_diseases,100,active
Healthcare,Medical device adoption,Medical Devices,medical_devices,10,active
Healthcare,Medical device adoption,Hospitals,hospitals,20,active
Healthcare,Medical device adoption,Diagnostics,diagnostics,30,active
Healthcare,Medical device adoption,Digital Health,digital_health,40,active
Healthcare,Medical device adoption,Electronic Components,electronic_components,50,active
Healthcare,Medical device adoption,Precision Instruments,precision_instruments,60,active
Healthcare,Medical device adoption,Healthcare Services,healthcare_services,70,active
Healthcare,Medical device adoption,Healthcare Distribution,healthcare_distribution,80,active
Healthcare,Medical device adoption,Health Insurance,health_insurance,90,active
Healthcare,Medical device adoption,Surgical Equipment,surgical_equipment,100,active
Healthcare,Hospital investment,Hospitals,hospitals,10,active
Healthcare,Hospital investment,Construction,infrastructure_engineering,20,active
Healthcare,Hospital investment,Medical Devices,medical_devices,30,active
Healthcare,Hospital investment,Diagnostics,diagnostics,40,active
Healthcare,Hospital investment,Healthcare Technology,healthcare_technology,50,active
Healthcare,Hospital investment,Engineering Services,engineering_services,60,active
Healthcare,Hospital investment,Facilities Services,facilities_services,70,active
Healthcare,Hospital investment,Healthcare Distribution,healthcare_distribution,80,active
Healthcare,Hospital investment,Digital Health,digital_health,90,active
Healthcare,Hospital investment,Utilities,utilities,100,active
Healthcare,Healthcare regulation,Pharmaceuticals,pharmaceuticals,10,active
Healthcare,Healthcare regulation,Health Insurance,health_insurance,20,active
Healthcare,Healthcare regulation,Hospitals,hospitals,30,active
Healthcare,Healthcare regulation,Medical Devices,medical_devices,40,active
Healthcare,Healthcare regulation,Risk Management,risk_management,50,active
Healthcare,Healthcare regulation,Healthcare Technology,healthcare_technology,60,active
Healthcare,Healthcare regulation,Clinical Research,clinical_research,70,active
Healthcare,Healthcare regulation,Legal Information,legal_information,80,active
Healthcare,Healthcare regulation,Biotechnology,biotechnology,90,active
Healthcare,Healthcare regulation,Diagnostics,diagnostics,100,active
Healthcare,Biotechnology innovation,Biotechnology,biotechnology,10,active
Healthcare,Biotechnology innovation,Clinical Research,clinical_research,20,active
Healthcare,Biotechnology innovation,Pharmaceuticals,pharmaceuticals,30,active
Healthcare,Biotechnology innovation,Diagnostics,diagnostics,40,active
Healthcare,Biotechnology innovation,Laboratory Equipment,laboratory_equipment,50,active
Healthcare,Biotechnology innovation,Contract Manufacturing,contract_manufacturing,60,active
Healthcare,Biotechnology innovation,Bioinformatics,bioinformatics,70,active
Healthcare,Biotechnology innovation,Life Sciences Software,life_sciences_software,80,active
Healthcare,Biotechnology innovation,Medical Devices,medical_devices,90,active
Healthcare,Biotechnology innovation,Rare Diseases,rare_diseases,100,active
Healthcare,Diagnostic demand,Diagnostics,diagnostics,10,active
Healthcare,Diagnostic demand,Laboratory Equipment,laboratory_equipment,20,active
Healthcare,Diagnostic demand,Hospitals,hospitals,30,active
Healthcare,Diagnostic demand,Medical Imaging,medical_imaging,40,active
Healthcare,Diagnostic demand,Healthcare Services,healthcare_services,50,active
Healthcare,Diagnostic demand,Clinical Research,clinical_research,60,active
Healthcare,Diagnostic demand,Digital Health,digital_health,70,active
Healthcare,Diagnostic demand,Health Insurance,health_insurance,80,active
Healthcare,Diagnostic demand,Healthcare Distribution,healthcare_distribution,90,active
Healthcare,Diagnostic demand,Biotechnology,biotechnology,100,active
Healthcare,Digital healthcare adoption,Digital Health,digital_health,10,active
Healthcare,Digital healthcare adoption,Healthcare Technology,healthcare_technology,20,active
Healthcare,Digital healthcare adoption,Hospitals,hospitals,30,active
Healthcare,Digital healthcare adoption,Diagnostics,diagnostics,40,active
Healthcare,Digital healthcare adoption,Telecommunications,telecommunications,50,active
Healthcare,Digital healthcare adoption,Cybersecurity,cybersecurity,60,active
Healthcare,Digital healthcare adoption,Cloud Services,cloud_services,70,active
Healthcare,Digital healthcare adoption,Medical Devices,medical_devices,80,active
Healthcare,Digital healthcare adoption,Health Insurance,health_insurance,90,active
Healthcare,Digital healthcare adoption,Healthcare Analytics,healthcare_analytics,100,active
Healthcare,Pandemic preparedness,Vaccines,vaccines,10,active
Healthcare,Pandemic preparedness,Diagnostics,diagnostics,20,active
Healthcare,Pandemic preparedness,Hospitals,hospitals,30,active
Healthcare,Pandemic preparedness,Healthcare Products,healthcare_products,40,active
Healthcare,Pandemic preparedness,Logistics,logistics,50,active
Healthcare,Pandemic preparedness,Healthcare Technology,healthcare_technology,60,active
Healthcare,Pandemic preparedness,Government Services,government_services,70,active
Healthcare,Pandemic preparedness,Biotechnology,biotechnology,80,active
Healthcare,Pandemic preparedness,Clinical Research,clinical_research,90,active
Healthcare,Pandemic preparedness,Healthcare Distribution,healthcare_distribution,100,active
Healthcare,Insurance reimbursement changes,Health Insurance,health_insurance,10,active
Healthcare,Insurance reimbursement changes,Hospitals,hospitals,20,active
Healthcare,Insurance reimbursement changes,Healthcare Services,healthcare_services,30,active
Healthcare,Insurance reimbursement changes,Pharmaceuticals,pharmaceuticals,40,active
Healthcare,Insurance reimbursement changes,Medical Devices,medical_devices,50,active
Healthcare,Insurance reimbursement changes,Diagnostics,diagnostics,60,active
Healthcare,Insurance reimbursement changes,Digital Health,digital_health,70,active
Healthcare,Insurance reimbursement changes,Biotechnology,biotechnology,80,active
Healthcare,Insurance reimbursement changes,Senior Housing,senior_housing,90,active
Healthcare,Insurance reimbursement changes,Risk Management,risk_management,100,active
Industrials,Manufacturing expansion,Industrial Equipment,industrial_equipment,10,active
Industrials,Manufacturing expansion,Industrial Automation,industrial_automation,20,active
Industrials,Manufacturing expansion,Logistics,logistics,30,active
Industrials,Manufacturing expansion,Industrial Chemicals,industrial_chemicals,40,active
Industrials,Manufacturing expansion,Metals,metals,50,active
Industrials,Manufacturing expansion,Packaging,packaging,60,active
Industrials,Manufacturing expansion,Engineering Services,engineering_services,70,active
Industrials,Manufacturing expansion,Construction,infrastructure_engineering,80,active
Industrials,Manufacturing expansion,Energy Services,energy_services,90,active
Industrials,Manufacturing expansion,Transportation,transportation,100,active
Industrials,Manufacturing slowdown,Industrial Equipment,industrial_equipment,10,active
Industrials,Manufacturing slowdown,Logistics,logistics,20,active
Industrials,Manufacturing slowdown,Metals,metals,30,active
Industrials,Manufacturing slowdown,Industrial Chemicals,industrial_chemicals,40,active
Industrials,Manufacturing slowdown,Construction,infrastructure_engineering,50,active
Industrials,Manufacturing slowdown,Transportation,transportation,60,active
Industrials,Manufacturing slowdown,Packaging,packaging,70,active
Industrials,Manufacturing slowdown,Industrial Automation,industrial_automation,80,active
Industrials,Manufacturing slowdown,Energy Services,energy_services,90,active
Industrials,Manufacturing slowdown,Business Services,business_services,100,active
Industrials,Infrastructure investment,Construction,infrastructure_engineering,10,active
Industrials,Infrastructure investment,Engineering Services,engineering_services,20,active
Industrials,Infrastructure investment,Cement,cement,30,active
Industrials,Infrastructure investment,Steel,steel,40,active
Industrials,Infrastructure investment,Utilities,utilities,50,active
Industrials,Infrastructure investment,Industrial Equipment,industrial_equipment,60,active
Industrials,Infrastructure investment,Transportation Infrastructure,transportation_infrastructure,70,active
Industrials,Infrastructure investment,Construction Materials,construction_materials,80,active
Industrials,Infrastructure investment,Industrial Machinery,industrial_machinery,90,active
Industrials,Infrastructure investment,Logistics,logistics,100,active
Industrials,Construction activity,Construction,infrastructure_engineering,10,active
Industrials,Construction activity,Construction Materials,construction_materials,20,active
Industrials,Construction activity,Engineering Services,engineering_services,30,active
Industrials,Construction activity,Cement,cement,40,active
Industrials,Construction activity,Steel,steel,50,active
Industrials,Construction activity,Utilities,utilities,60,active
Industrials,Construction activity,Industrial Equipment,industrial_equipment,70,active
Industrials,Construction activity,Logistics,logistics,80,active
Industrials,Construction activity,Real Estate Development,real_estate_development,90,active
Industrials,Construction activity,Insurance,insurance,100,active
Industrials,Defence spending,Aerospace Defence,aerospace_defence,10,active
Industrials,Defence spending,Defence Systems,defence_systems,20,active
Industrials,Defence spending,Defence Electronics,defence_electronics,30,active
Industrials,Defence spending,Semiconductors,semiconductors,40,active
Industrials,Defence spending,Cybersecurity,cybersecurity,50,active
Industrials,Defence spending,Defense Manufacturing,defense_manufacturing,60,active
Industrials,Defence spending,Engineering Services,engineering_services,70,active
Industrials,Defence spending,Shipbuilding,shipbuilding,80,active
Industrials,Defence spending,Logistics,logistics,90,active
Industrials,Defence spending,High Performance Materials,high_performance_materials,100,active
Industrials,Automation investment,Industrial Automation,industrial_automation,10,active
Industrials,Automation investment,Robotics,robotics,20,active
Industrials,Automation investment,Semiconductors,semiconductors,30,active
Industrials,Automation investment,Sensors,sensors,40,active
Industrials,Automation investment,Industrial Software,industrial_software,50,active
