theme,catalyst,investigation_pathway,display_order,status
Technology,Consumer electronics demand,Battery Storage,50,active
Technology,Consumer electronics demand,Logistics,60,active
Technology,Consumer electronics demand,Retail,70,active
Technology,Consumer electronics demand,Ecommerce,80,active
Technology,Consumer electronics demand,Contract Manufacturing,90,active
Technology,Consumer electronics demand,Technology Distribution,100,active
Technology,Digital payments growth,Payment Networks,10,active
Technology,Digital payments growth,Payment Processing,20,active
Technology,Digital payments growth,Fintech,30,active
Technology,Digital payments growth,Commercial Banking,40,active
Technology,Digital payments growth,Cybersecurity,50,active
Technology,Digital payments growth,Cloud Services,60,active
Technology,Digital payments growth,Enterprise Software,70,active
Technology,Digital payments growth,Digital Identity,80,active
Technology,Digital payments growth,Retail,90,active
Technology,Digital payments growth,Ecommerce,100,active
Technology,Network infrastructure upgrades,Networking,10,active
Technology,Network infrastructure upgrades,Photonics,20,active
Technology,Network infrastructure upgrades,Telecommunications,30,active
Technology,Network infrastructure upgrades,Semiconductors,40,active
Technology,Network infrastructure upgrades,Power Equipment,50,active
Technology,Network infrastructure upgrades,Engineering Services,60,active
Technology,Network infrastructure upgrades,Construction,70,active
Technology,Network infrastructure upgrades,Cloud Infrastructure,80,active
Technology,Network infrastructure upgrades,Cybersecurity,90,active
Technology,Network infrastructure upgrades,Industrial Automation,100,active
Technology,Technology regulation,Enterprise Software,10,active
Technology,Technology regulation,Cybersecurity,20,active
Technology,Technology regulation,Cloud Services,30,active
Technology,Technology regulation,Semiconductors,40,active
Technology,Technology regulation,Digital Media,50,active
Technology,Technology regulation,Digital Advertising,60,active
Technology,Technology regulation,Risk Management,70,active
Technology,Technology regulation,Legal Information,80,active
Technology,Technology regulation,Consulting,90,active
Technology,Technology regulation,Digital Identity,100,active
Consumer,Consumer spending strengthening,Retail,10,active
Consumer,Consumer spending strengthening,Restaurants,20,active
Consumer,Consumer spending strengthening,Travel Services,30,active
Consumer,Consumer spending strengthening,Live Entertainment,40,active
Consumer,Consumer spending strengthening,Consumer Electronics,50,active
Consumer,Consumer spending strengthening,Ecommerce,60,active
Consumer,Consumer spending strengthening,Payments,70,active
Consumer,Consumer spending strengthening,Logistics,80,active
Consumer,Consumer spending strengthening,Advertising,90,active
Consumer,Consumer spending strengthening,Consumer Goods,100,active
Consumer,Consumer spending weakening,Discount Retail,10,active
Consumer,Consumer spending weakening,Consumer Food,20,active
Consumer,Consumer spending weakening,Household Products,30,active
Consumer,Consumer spending weakening,Utilities,40,active
Consumer,Consumer spending weakening,Telecommunications,50,active
Consumer,Consumer spending weakening,Consumer Healthcare,60,active
Consumer,Consumer spending weakening,Insurance,70,active
Consumer,Consumer spending weakening,Logistics,80,active
Consumer,Consumer spending weakening,Advertising,90,active
Consumer,Consumer spending weakening,Travel Services,100,active
Consumer,Luxury demand increasing,Luxury Goods,10,active
Consumer,Luxury demand increasing,Fashion Retail,20,active
Consumer,Luxury demand increasing,Travel Services,30,active
Consumer,Luxury demand increasing,Hotels,40,active
Consumer,Luxury demand increasing,Payments,50,active
Consumer,Luxury demand increasing,Advertising,60,active
Consumer,Luxury demand increasing,Logistics,70,active
Consumer,Luxury demand increasing,Consumer Finance,80,active
Consumer,Luxury demand increasing,Retail Real Estate,90,active
Consumer,Luxury demand increasing,Airlines,100,active
Consumer,Travel demand increasing,Airlines,10,active
Consumer,Travel demand increasing,Hotels,20,active
Consumer,Travel demand increasing,Restaurants,30,active
Consumer,Travel demand increasing,Reservation Systems,40,active
Consumer,Travel demand increasing,Car Rental,50,active
Consumer,Travel demand increasing,Cruise Lines,60,active
Consumer,Travel demand increasing,Payments,70,active
Consumer,Travel demand increasing,Fuel Distribution,80,active
Consumer,Travel demand increasing,Travel Technology,90,active
Consumer,Travel demand increasing,Live Entertainment,100,active
Consumer,Restaurant spending growth,Restaurants,10,active
Consumer,Restaurant spending growth,Food Distribution,20,active
Consumer,Restaurant spending growth,Agriculture,30,active
Consumer,Restaurant spending growth,Packaging,40,active
Consumer,Restaurant spending growth,Payments,50,active
Consumer,Restaurant spending growth,Retail,60,active
Consumer,Restaurant spending growth,Commercial Real Estate,70,active
Consumer,Restaurant spending growth,Logistics,80,active
Consumer,Restaurant spending growth,Advertising,90,active
Consumer,Restaurant spending growth,Consumer Finance,100,active
Consumer,Retail footfall changing,Retail,10,active
Consumer,Retail footfall changing,Shopping Centres,20,active
Consumer,Retail footfall changing,Payments,30,active
Consumer,Retail footfall changing,Advertising,40,active
Consumer,Retail footfall changing,Logistics,50,active
Consumer,Retail footfall changing,Consumer Goods,60,active
Consumer,Retail footfall changing,Retail Real Estate,70,active
Consumer,Retail footfall changing,Physical Security,80,active
Consumer,Retail footfall changing,Facilities Services,90,active
Consumer,Retail footfall changing,Food Services,100,active
Consumer,Ecommerce growth,Ecommerce,10,active
Consumer,Ecommerce growth,Logistics,20,active
Consumer,Ecommerce growth,Warehousing,30,active
Consumer,Ecommerce growth,Payments,40,active
Consumer,Ecommerce growth,Cloud Services,50,active
Consumer,Ecommerce growth,Packaging,60,active
Consumer,Ecommerce growth,Digital Advertising,70,active
Consumer,Ecommerce growth,Retail,80,active
Consumer,Ecommerce growth,Cybersecurity,90,active
Consumer,Ecommerce growth,Data Analytics,100,active
Consumer,Housing-related spending,Homebuilding,10,active
Consumer,Housing-related spending,Construction Materials,20,active
Consumer,Housing-related spending,Home Improvement Retail,30,active
Consumer,Housing-related spending,Home Furnishings,40,active
Consumer,Housing-related spending,Consumer Electronics,50,active
Consumer,Housing-related spending,Mortgage Services,60,active
Consumer,Housing-related spending,Insurance,70,active
Consumer,Housing-related spending,Construction,80,active
Consumer,Housing-related spending,Logistics,90,active
Consumer,Housing-related spending,Utilities,100,active
Consumer,Advertising demand changing,Digital Advertising,10,active
Consumer,Advertising demand changing,Media Entertainment,20,active
Consumer,Advertising demand changing,Social Platforms,30,active
Consumer,Advertising demand changing,Retail,40,active
Consumer,Advertising demand changing,Consumer Goods,50,active
Consumer,Advertising demand changing,Data Analytics,60,active
Consumer,Advertising demand changing,Cloud Services,70,active
Consumer,Advertising demand changing,Marketing,80,active
Consumer,Advertising demand changing,Telecommunications,90,active
Consumer,Advertising demand changing,Digital Content,100,active
Consumer,Disposable income changing,Retail,10,active
Consumer,Disposable income changing,Restaurants,20,active
Consumer,Disposable income changing,Travel Services,30,active
Consumer,Disposable income changing,Consumer Goods,40,active
Consumer,Disposable income changing,Automotive Services,50,active
Consumer,Disposable income changing,Homebuilding,60,active
Consumer,Disposable income changing,Payments,70,active
Consumer,Disposable income changing,Insurance,80,active
Consumer,Disposable income changing,Utilities,90,active
Consumer,Disposable income changing,Consumer Healthcare,100,active
Healthcare,Ageing population,Hospitals,10,active
Healthcare,Ageing population,Medical Devices,20,active
Healthcare,Ageing population,Diagnostics,30,active
Healthcare,Ageing population,Pharmaceuticals,40,active
Healthcare,Ageing population,Biotechnology,50,active
Healthcare,Ageing population,Healthcare Services,60,active
Healthcare,Ageing population,Health Insurance,70,active
Healthcare,Ageing population,Senior Housing,80,active
Healthcare,Ageing population,Digital Health,90,active
Healthcare,Ageing population,Consumer Healthcare,100,active
Healthcare,Drug approvals,Pharmaceuticals,10,active
Healthcare,Drug approvals,Biotechnology,20,active
Healthcare,Drug approvals,Clinical Research,30,active
Healthcare,Drug approvals,Contract Manufacturing,40,active
Healthcare,Drug approvals,Pharmaceutical Distribution,50,active
Healthcare,Drug approvals,Diagnostics,60,active
Healthcare,Drug approvals,Hospitals,70,active
Healthcare,Drug approvals,Drug Delivery,80,active
Healthcare,Drug approvals,Regulatory Services,90,active
Healthcare,Drug approvals,Rare Diseases,100,active
Healthcare,Medical device adoption,Medical Devices,10,active
Healthcare,Medical device adoption,Hospitals,20,active
Healthcare,Medical device adoption,Diagnostics,30,active
Healthcare,Medical device adoption,Digital Health,40,active
Healthcare,Medical device adoption,Electronic Components,50,active
Healthcare,Medical device adoption,Precision Instruments,60,active
Healthcare,Medical device adoption,Healthcare Services,70,active
Healthcare,Medical device adoption,Healthcare Distribution,80,active
Healthcare,Medical device adoption,Health Insurance,90,active
Healthcare,Medical device adoption,Surgical Equipment,100,active
Healthcare,Hospital investment,Hospitals,10,active
Healthcare,Hospital investment,Construction,20,active
Healthcare,Hospital investment,Medical Devices,30,active
Healthcare,Hospital investment,Diagnostics,40,active
Healthcare,Hospital investment,Healthcare Technology,50,active
Healthcare,Hospital investment,Engineering Services,60,active
Healthcare,Hospital investment,Facilities Services,70,active
Healthcare,Hospital investment,Healthcare Distribution,80,active
Healthcare,Hospital investment,Digital Health,90,active
Healthcare,Hospital investment,Utilities,100,active
Healthcare,Healthcare regulation,Pharmaceuticals,10,active
Healthcare,Healthcare regulation,Health Insurance,20,active
Healthcare,Healthcare regulation,Hospitals,30,active
Healthcare,Healthcare regulation,Medical Devices,40,active
Healthcare,Healthcare regulation,Risk Management,50,active
Healthcare,Healthcare regulation,Healthcare Technology,60,active
Healthcare,Healthcare regulation,Clinical Research,70,active
Healthcare,Healthcare regulation,Legal Information,80,active
Healthcare,Healthcare regulation,Biotechnology,90,active
Healthcare,Healthcare regulation,Diagnostics,100,active
Healthcare,Biotechnology innovation,Biotechnology,10,active
Healthcare,Biotechnology innovation,Clinical Research,20,active
Healthcare,Biotechnology innovation,Pharmaceuticals,30,active
Healthcare,Biotechnology innovation,Diagnostics,40,active
Healthcare,Biotechnology innovation,Laboratory Equipment,50,active
Healthcare,Biotechnology innovation,Contract Manufacturing,60,active
Healthcare,Biotechnology innovation,Bioinformatics,70,active
Healthcare,Biotechnology innovation,Life Sciences Software,80,active
Healthcare,Biotechnology innovation,Medical Devices,90,active
Healthcare,Biotechnology innovation,Rare Diseases,100,active
Healthcare,Diagnostic demand,Diagnostics,10,active
Healthcare,Diagnostic demand,Laboratory Equipment,20,active
Healthcare,Diagnostic demand,Hospitals,30,active
Healthcare,Diagnostic demand,Medical Imaging,40,active
Healthcare,Diagnostic demand,Healthcare Services,50,active
Healthcare,Diagnostic demand,Clinical Research,60,active
Healthcare,Diagnostic demand,Digital Health,70,active
Healthcare,Diagnostic demand,Health Insurance,80,active
Healthcare,Diagnostic demand,Healthcare Distribution,90,active
Healthcare,Diagnostic demand,Biotechnology,100,active
Healthcare,Digital healthcare adoption,Digital Health,10,active
Healthcare,Digital healthcare adoption,Healthcare Technology,20,active
Healthcare,Digital healthcare adoption,Hospitals,30,active
Healthcare,Digital healthcare adoption,Diagnostics,40,active
Healthcare,Digital healthcare adoption,Telecommunications,50,active
Healthcare,Digital healthcare adoption,Cybersecurity,60,active
Healthcare,Digital healthcare adoption,Cloud Services,70,active
Healthcare,Digital healthcare adoption,Medical Devices,80,active
Healthcare,Digital healthcare adoption,Health Insurance,90,active
Healthcare,Digital healthcare adoption,Healthcare Analytics,100,active
Healthcare,Pandemic preparedness,Vaccines,10,active
Healthcare,Pandemic preparedness,Diagnostics,20,active
Healthcare,Pandemic preparedness,Hospitals,30,active
Healthcare,Pandemic preparedness,Healthcare Products,40,active
Healthcare,Pandemic preparedness,Logistics,50,active
Healthcare,Pandemic preparedness,Healthcare Technology,60,active
Healthcare,Pandemic preparedness,Government Services,70,active
Healthcare,Pandemic preparedness,Biotechnology,80,active
Healthcare,Pandemic preparedness,Clinical Research,90,active
Healthcare,Pandemic preparedness,Healthcare Distribution,100,active
Healthcare,Insurance reimbursement changes,Health Insurance,10,active
Healthcare,Insurance reimbursement changes,Hospitals,20,active
Healthcare,Insurance reimbursement changes,Healthcare Services,30,active
Healthcare,Insurance reimbursement changes,Pharmaceuticals,40,active
Healthcare,Insurance reimbursement changes,Medical Devices,50,active
Healthcare,Insurance reimbursement changes,Diagnostics,60,active
Healthcare,Insurance reimbursement changes,Digital Health,70,active
Healthcare,Insurance reimbursement changes,Biotechnology,80,active
Healthcare,Insurance reimbursement changes,Senior Housing,90,active
Healthcare,Insurance reimbursement changes,Risk Management,100,active
Industrials,Manufacturing expansion,Industrial Equipment,10,active
Industrials,Manufacturing expansion,Industrial Automation,20,active
Industrials,Manufacturing expansion,Logistics,30,active
Industrials,Manufacturing expansion,Industrial Chemicals,40,active
Industrials,Manufacturing expansion,Metals,50,active
Industrials,Manufacturing expansion,Packaging,60,active
Industrials,Manufacturing expansion,Engineering Services,70,active
Industrials,Manufacturing expansion,Construction,80,active
Industrials,Manufacturing expansion,Energy Services,90,active
Industrials,Manufacturing expansion,Transportation,100,active
Industrials,Manufacturing slowdown,Industrial Equipment,10,active
Industrials,Manufacturing slowdown,Logistics,20,active
Industrials,Manufacturing slowdown,Metals,30,active
Industrials,Manufacturing slowdown,Industrial Chemicals,40,active
Industrials,Manufacturing slowdown,Construction,50,active
Industrials,Manufacturing slowdown,Transportation,60,active
Industrials,Manufacturing slowdown,Packaging,70,active
Industrials,Manufacturing slowdown,Industrial Automation,80,active
Industrials,Manufacturing slowdown,Energy Services,90,active
Industrials,Manufacturing slowdown,Business Services,100,active
Industrials,Infrastructure investment,Construction,10,active
Industrials,Infrastructure investment,Engineering Services,20,active
Industrials,Infrastructure investment,Cement,30,active
Industrials,Infrastructure investment,Steel,40,active
Industrials,Infrastructure investment,Utilities,50,active
Industrials,Infrastructure investment,Industrial Equipment,60,active
Industrials,Infrastructure investment,Transportation Infrastructure,70,active
Industrials,Infrastructure investment,Construction Materials,80,active
Industrials,Infrastructure investment,Industrial Machinery,90,active
Industrials,Infrastructure investment,Logistics,100,active
Industrials,Construction activity,Construction,10,active
Industrials,Construction activity,Construction Materials,20,active
Industrials,Construction activity,Engineering Services,30,active
Industrials,Construction activity,Cement,40,active
Industrials,Construction activity,Steel,50,active
Industrials,Construction activity,Utilities,60,active
Industrials,Construction activity,Industrial Equipment,70,active
Industrials,Construction activity,Logistics,80,active
Industrials,Construction activity,Real Estate Development,90,active
Industrials,Construction activity,Insurance,100,active
Industrials,Defence spending,Aerospace Defence,10,active
Industrials,Defence spending,Defence Systems,20,active
Industrials,Defence spending,Defence Electronics,30,active
Industrials,Defence spending,Semiconductors,40,active
Industrials,Defence spending,Cybersecurity,50,active
Industrials,Defence spending,Defense Manufacturing,60,active
Industrials,Defence spending,Engineering Services,70,active
Industrials,Defence spending,Shipbuilding,80,active
Industrials,Defence spending,Logistics,90,active
Industrials,Defence spending,High Performance Materials,100,active
Industrials,Automation investment,Industrial Automation,10,active
Industrials,Automation investment,Robotics,20,active
Industrials,Automation investment,Semiconductors,30,active
Industrials,Automation investment,Sensors,40,active
Industrials,Automation investment,Industrial Software,50,active
Industrials,Automation investment,Industrial Equipment,60,active
Industrials,Automation investment,Engineering Services,70,active
Industrials,Automation investment,Contract Manufacturing,80,active
Industrials,Automation investment,Logistics,90,active
Industrials,Automation investment,Power Management,100,active
Industrials,Logistics demand,Road Freight,10,active
Industrials,Logistics demand,Rail Logistics,20,active
Industrials,Logistics demand,Shipping,30,active
Industrials,Logistics demand,Warehousing,40,active
Industrials,Logistics demand,Packaging,50,active
Industrials,Logistics demand,Fuel Distribution,60,active
Industrials,Logistics demand,Industrial Equipment,70,active
Industrials,Logistics demand,Retail,80,active
Industrials,Logistics demand,Ecommerce,90,active
Industrials,Logistics demand,Cargo Transport,100,active
Industrials,Freight activity,Shipping,10,active
Industrials,Freight activity,Road Freight,20,active
Industrials,Freight activity,Rail Transport,30,active
Industrials,Freight activity,Ports,40,active
Industrials,Freight activity,Logistics,50,active
Industrials,Freight activity,Packaging,60,active
Industrials,Freight activity,Fuel Distribution,70,active
Industrials,Freight activity,Industrial Manufacturing,80,active
Industrials,Freight activity,Agriculture,90,active
Industrials,Freight activity,Wholesale Distribution,100,active
Industrials,Capital expenditure growth,Industrial Equipment,10,active
Industrials,Capital expenditure growth,Engineering Services,20,active
Industrials,Capital expenditure growth,Construction,30,active
Industrials,Capital expenditure growth,Industrial Automation,40,active
Industrials,Capital expenditure growth,Technology Distribution,50,active
Industrials,Capital expenditure growth,Energy Infrastructure,60,active
Industrials,Capital expenditure growth,Transportation,70,active
Industrials,Capital expenditure growth,Construction Materials,80,active
Industrials,Capital expenditure growth,Contract Manufacturing,90,active
Industrials,Capital expenditure growth,Business Services,100,active
Industrials,Industrial reshoring,Construction,10,active
Industrials,Industrial reshoring,Industrial Equipment,20,active
Industrials,Industrial reshoring,Industrial Automation,30,active
Industrials,Industrial reshoring,Engineering Services,40,active
Industrials,Industrial reshoring,Logistics,50,active
Industrials,Industrial reshoring,Energy Infrastructure,60,active
Industrials,Industrial reshoring,Semiconductors,70,active
Industrials,Industrial reshoring,Construction Materials,80,active
Industrials,Industrial reshoring,Industrial Chemicals,90,active
Industrials,Industrial reshoring,Contract Manufacturing,100,active
Materials,Copper demand increasing,Copper,10,active
Materials,Copper demand increasing,Electrical Equipment,20,active
Materials,Copper demand increasing,Grid Infrastructure,30,active
Materials,Copper demand increasing,Construction,40,active
Materials,Copper demand increasing,Renewable Energy,50,active
Materials,Copper demand increasing,Industrial Equipment,60,active
Materials,Copper demand increasing,Electric Vehicles,70,active
Materials,Copper demand increasing,Power Cables,80,active
Materials,Copper demand increasing,Engineering Services,90,active
Materials,Copper demand increasing,Utilities,100,active
Materials,Steel demand increasing,Steel,10,active
Materials,Steel demand increasing,Construction,20,active
Materials,Steel demand increasing,Transportation Infrastructure,30,active
Materials,Steel demand increasing,Industrial Equipment,40,active
Materials,Steel demand increasing,Automotive Parts,50,active
Materials,Steel demand increasing,Shipbuilding,60,active
Materials,Steel demand increasing,Engineering Services,70,active
Materials,Steel demand increasing,Mining,80,active
Materials,Steel demand increasing,Rail Equipment,90,active
Materials,Steel demand increasing,Energy Infrastructure,100,active
Materials,Chemical demand increasing,Industrial Chemicals,10,active
Materials,Chemical demand increasing,Packaging,20,active
Materials,Chemical demand increasing,Agriculture,30,active
Materials,Chemical demand increasing,Contract Manufacturing,40,active
Materials,Chemical demand increasing,Construction,50,active
Materials,Chemical demand increasing,Water Treatment,60,active
Materials,Chemical demand increasing,Industrial Equipment,70,active
Materials,Chemical demand increasing,Healthcare Products,80,active
Materials,Chemical demand increasing,Consumer Goods,90,active
Materials,Chemical demand increasing,Logistics,100,active
Materials,Construction materials demand,Cement,10,active
Materials,Construction materials demand,Aggregates,20,active
Materials,Construction materials demand,Construction,30,active
Materials,Construction materials demand,Engineering Services,40,active
Materials,Construction materials demand,Steel,50,active
Materials,Construction materials demand,Utilities,60,active
Materials,Construction materials demand,Real Estate Development,70,active
Materials,Construction materials demand,Infrastructure,80,active
Materials,Construction materials demand,Industrial Equipment,90,active
Materials,Construction materials demand,Logistics,100,active
Materials,Critical minerals demand,Critical Minerals,10,active
Materials,Critical minerals demand,Battery Materials,20,active
Materials,Critical minerals demand,Copper,30,active
Materials,Critical minerals demand,Mining,40,active
Materials,Critical minerals demand,Energy Storage,50,active
Materials,Critical minerals demand,Electric Vehicles,60,active
Materials,Critical minerals demand,Renewable Energy,70,active
Materials,Critical minerals demand,Semiconductors,80,active
Materials,Critical minerals demand,Industrial Equipment,90,active
Materials,Critical minerals demand,Defense Technology,100,active
Materials,Agricultural input demand,Agriculture,10,active
Materials,Agricultural input demand,Industrial Chemicals,20,active
Materials,Agricultural input demand,Farm Equipment,30,active
Materials,Agricultural input demand,Logistics,40,active
Materials,Agricultural input demand,Packaging,50,active
Materials,Agricultural input demand,Water Infrastructure,60,active
Materials,Agricultural input demand,Energy Services,70,active
Materials,Agricultural input demand,Food Production,80,active
Materials,Agricultural input demand,Commodity Trading,90,active
Materials,Agricultural input demand,Wholesale Distribution,100,active
Materials,Packaging demand,Packaging,10,active
Materials,Packaging demand,Paper Products,20,active
Materials,Packaging demand,Industrial Chemicals,30,active
Materials,Packaging demand,Retail,40,active
Materials,Packaging demand,Ecommerce,50,active
Materials,Packaging demand,Logistics,60,active
Materials,Packaging demand,Food Production,70,active
Materials,Packaging demand,Consumer Goods,80,active
Materials,Packaging demand,Contract Manufacturing,90,active
Materials,Packaging demand,Recycling,100,active
