ticker,company_name,country,primary_business_tag,business_tags,business_overview
BKR,Baker Hughes Company,United States,energy_equipment,energy_equipment;industrial_machinery,"Develops energy technologies, industrial equipment and engineering services for energy markets."
BLDR,Builders FirstSource,United States,building_products,building_products;industrial_distribution,"Manufactures, supplies and installs building materials and construction products for residential markets."
BLK,"Blackrock, Inc.",United States,asset_management,asset_management;financial_technology,"Provides asset-management, investment and related technology services."
BMY,Bristol-Myers Squibb Company,United States,pharmaceuticals,pharmaceuticals;biotechnology,"Develops, manufactures and markets pharmaceutical products, with additional activities or exposure across biotechnology."
BR,"Broadridge Financial Solutions, Inc.",United States,financial_technology,financial_technology;capital_markets,"Develops financial technology, investor communications and capital-markets infrastructure solutions."
BRK.B,"Berkshire Hathaway Inc.,",United States,holding_companies,holding_companies;insurance;utilities,"Owns and manages diversified businesses, with additional activities or exposure across insurance, utilities, manufacturing and transportation."
BRO,"Brown & Brown, Inc.",United States,insurance_brokerage,insurance_brokerage;insurance,"Provides insurance brokerage, risk-management and related advisory services."
BSX,Boston Scientific Corporation,United States,medical_devices,medical_devices,"Develops, manufactures and supplies medical devices used across cardiovascular, endoscopy, urology and neuromodulation markets."
BWA,Borgwarner Inc.,United States,automotive_components,automotive_components;electric_vehicles,"Develops and supplies automotive propulsion, drivetrain and electrification technologies."
BXP,"Boston Properties, Inc.",United States,commercial_real_estate,commercial_real_estate,"Owns, develops and manages commercial office and mixed-use real-estate assets."
C,Citigroup Inc.,United States,banking,banking;investment_banking;wealth_management,"Provides retail, commercial and investment banking services, with additional activities or exposure across wealth management."
CAH,"Cardinal Health, Inc.",United States,pharmaceutical_distribution,pharmaceutical_distribution;medical_devices,"Distributes pharmaceutical products, medical supplies and related healthcare services."
CARR,Carrier Global Corporation,United States,climate_technology,climate_technology;industrial_machinery,"Develops heating, ventilation, air-conditioning, refrigeration and energy-management technologies."
CASY,Casey's,United States,food_retail,food_retail;fuel_retail,"Operates convenience stores, food retail and fuel distribution businesses."
CAT,Caterpillar Inc.,United States,industrial_machinery,industrial_machinery;construction_equipment;mining_equipment;power_systems,"Designs, manufactures and services construction, mining and industrial equipment, with additional activities or exposure across power systems, rail and financial services."
CB,Chubb Ltd,United States,insurance,insurance;reinsurance,"Provides insurance, reinsurance and related risk-management services."
CBOE,"Cboe Global Markets, Inc.",United States,exchange_services,exchange_services;capital_markets,"Operates securities and derivatives exchanges, clearing and capital-markets infrastructure."
CBRE,"Cbre Group, Inc.",United States,real_estate_services,real_estate_services;property_management,"Provides commercial real-estate, property-management and investment services."
CCEP,Coca-Cola Europacific Partners,United States,beverages,beverages,"Produces, markets and distributes non-alcoholic beverages and related consumer products."
CCI,Crown Castle Inc.,United States,communications_infrastructure,communications_infrastructure,"Owns, develops and operates communications infrastructure and related real-estate assets."
CCL,Carnival Corp,United States,cruise_operations,cruise_operations;travel_services,Operates cruise lines and related leisure travel services.
CDNS,"Cadence Design Systems, Inc.",United States,enterprise_software,enterprise_software;semiconductor_design,Develops electronic-design automation software and semiconductor design technologies.
CDW,Cdw Corporation,United States,technology_reseller,technology_reseller;cloud_services;cybersecurity,"Provides information-technology products, cloud solutions and managed technology services."
CEG,Constellation Energy Corporation.,United States,electricity_generation,electricity_generation;renewable_energy,"Generates and supplies electricity, with additional activities or exposure across nuclear, renewable and natural-gas generation."
CF,"Cf Industries Holdings, Inc.",United States,chemicals,chemicals;agriculture_inputs,"Produces nitrogen, hydrogen and related chemical products for agricultural and industrial markets."
CFG,"Citizens Financial Group, Inc.",United States,banking,banking;wealth_management,"Provides retail, commercial and consumer banking services, with additional activities or exposure across wealth management."
CHD,"Church & Dwight Co., Inc.",United States,household_products,household_products;consumer_products,"Develops, manufactures and markets household, personal-care and specialty consumer products."
CHRW,"C.H. Robinson Worldwide, Inc.",United States,logistics,logistics;supply_chain,"Provides freight transportation, logistics and supply-chain management services."
CHTR,"Charter Communications, Inc.",United States,telecommunications,telecommunications;broadband,"Provides broadband, mobile, video and telecommunications services."
CI,The Cigna Group,United States,healthcare_services,healthcare_services;pharmacy_benefits,"Provides health insurance, pharmacy-benefit management and related healthcare services."
CIEN,Ciena,United States,networking_equipment,networking_equipment;enterprise_software,"Develops networking equipment, software and related communications technologies."
CINF,Cincinnati Financial Corporation,United States,insurance,insurance,"Provides commercial, personal and life insurance products and related investment services."
CL,Colgate-Palmolive Company,United States,household_products,household_products;consumer_products,"Develops, manufactures and markets oral care, personal care, household and pet nutrition products."
CLX,The Clorox Company,United States,household_products,household_products;consumer_products,"Develops, manufactures and markets household cleaning, disinfecting and consumer products."
CMCSA,Comcast Corporation,United States,telecommunications,telecommunications;media_entertainment,"Provides broadband, telecommunications, media, entertainment and streaming services."
CME,Cme Group Inc.,United States,exchange_services,exchange_services;capital_markets,"Operates derivatives exchanges, clearing services and capital-markets infrastructure."
CMG,"Chipotle Mexican Grill, Inc.",United States,restaurants,restaurants,Operates quick-service restaurant chains specialising in freshly prepared food.
CMI,Cummins Inc.,United States,industrial_machinery,industrial_machinery;power_systems,"Develops engines, power systems and industrial technologies for commercial and industrial markets."
CMS,Cms Energy Corporation,United States,utilities,utilities;electricity_generation,"Generates, distributes and supplies electricity and natural gas services."
CNC,Centene Corporation,United States,healthcare_services,healthcare_services;health_insurance,"Provides managed healthcare, insurance and related healthcare services."
CNP,"Centerpoint Energy, Inc.",United States,utilities,utilities;natural_gas,"Provides electricity transmission, distribution and natural-gas utility services."
COF,Capital One Financial Corporation,United States,banking,banking;consumer_finance,"Provides consumer, commercial and digital banking services."
COHR,Coherent Corp.,United States,photonics,photonics;electronics,"Develops lasers, optical communications technologies and electronic components."
COIN,Coinbase,United States,cryptocurrency,cryptocurrency;financial_technology,"Operates digital asset trading platforms, custody services and blockchain infrastructure."
COO,"The Cooper Companies, Inc.",United States,medical_devices,medical_devices;healthcare_services,"Develops contact lenses, fertility technologies and women's healthcare products."
COP,Conocophillips,United States,oil_gas,oil_gas,"Explores, produces and markets crude oil, natural gas and related energy products."
COR,Cencora,United States,pharmaceutical_distribution,pharmaceutical_distribution;healthcare_services,Distributes pharmaceutical products and provides related healthcare supply-chain services.
COST,Costco Wholesale Corporation,United States,retail,retail;wholesale_distribution,Operates membership warehouse retail and e-commerce businesses.
CPAY,Corpay,United States,payments,payments;financial_technology,"Provides corporate payment, expense-management and commercial payment solutions."
CPRT,"Copart, Inc.",United States,digital_marketplaces,digital_marketplaces;automotive,Operates online vehicle remarketing and auction marketplaces.
CPT,Camden Property Trust,United States,residential_real_estate,residential_real_estate,"Owns, develops and manages multifamily residential real-estate assets."
CRH,CRH,United States,construction_materials,construction_materials,"Manufactures and supplies aggregates, cement, concrete and building materials."
CRL,"Charles River Laboratories International, Inc.",United States,biotechnology,biotechnology;research_services,"Provides research, laboratory and drug-development services for pharmaceutical and biotechnology companies."
CRM,"Salesforce, Inc.",United States,enterprise_software,enterprise_software;artificial_intelligence,"Develops enterprise software, customer relationship management and AI-powered business platforms."
CRWD,"Crowdstrike Holdings, Inc.",United States,cybersecurity,cybersecurity;cloud_services;artificial_intelligence,Develops cloud-native cybersecurity and threat-intelligence platforms.
CRWV,CoreWeave,United States,cloud_infrastructure,cloud_infrastructure;artificial_intelligence,Provides cloud infrastructure and GPU computing platforms for artificial intelligence workloads.
CSCO,"Cisco Systems, Inc.",United States,networking_equipment,networking_equipment;cybersecurity,"Develops networking, communications and cybersecurity technologies."
CSGP,"Costar Group, Inc.",United States,digital_marketplaces,digital_marketplaces;real_estate_services,"Operates digital real-estate marketplaces, analytics and property intelligence platforms."
CSX,Csx Corporation,United States,rail_transport,rail_transport;logistics,"Provides rail freight transportation, intermodal logistics and supply-chain services."
CTAS,Cintas Corporation,United States,business_services,business_services;workplace_services,"Provides workplace services, uniforms, facility management and safety solutions."
CTSH,Cognizant Technology Solutions Corporation,United States,it_consulting,it_consulting;enterprise_software,"Provides digital transformation, consulting and technology services."
CTVA,"Corteva, Inc.",United States,agriculture_inputs,agriculture_inputs;chemicals,"Develops seeds, crop-protection products and agricultural technologies."
CVNA,Carvana,United States,digital_marketplaces,digital_marketplaces;automotive_retail,Operates online automotive retail and vehicle financing platforms.
CVS,Cvs Health Corporation,United States,healthcare_services,healthcare_services;pharmacy_benefits,"Provides pharmacy, healthcare, insurance and related health services."
CVX,Chevron Corporation,United States,oil_gas,oil_gas,"Explores, produces, refines and markets oil, natural gas and related energy products."
D,"Dominion Energy, Inc.",United States,utilities,utilities;electricity_generation;renewable_energy,"Generates, distributes and supplies electricity and natural gas, with additional activities across renewable energy."
DAL,"Delta Air Lines, Inc.",United States,airlines,airlines;transportation,Provides passenger and cargo airline transportation services.
DASH,"DoorDash, Inc.",United States,digital_marketplaces,digital_marketplaces;payments;logistics,Operates digital commerce and delivery marketplaces connecting consumers and merchants.
DD,"Dupont De Nemours, Inc.",United States,chemicals,chemicals;industrial_materials,"Develops specialty materials, industrial technologies and advanced chemical solutions."
DDOG,"Datadog, Inc.",United States,cloud_services,cloud_services;cybersecurity;artificial_intelligence,"Develops cloud monitoring, observability and cybersecurity software platforms."
DE,Deere & Company,United States,agricultural_equipment,agricultural_equipment;construction_equipment,"Develops agricultural, construction and forestry equipment and precision technologies."
DECK,Deckers Brands,United States,apparel,apparel;footwear,"Designs, manufactures and markets footwear, apparel and lifestyle products."
DELL,Dell Technologies,United States,computer_hardware,computer_hardware;enterprise_infrastructure,"Develops computers, enterprise infrastructure and information-technology solutions."
DG,Dollar General Corporation,United States,retail,retail,Operates discount retail stores offering consumer and household products.
DGX,Quest Diagnostics Incorporated,United States,diagnostics,diagnostics;healthcare_services,"Provides diagnostic testing, laboratory and healthcare information services."
DHI,"D.R. Horton, Inc.",United States,homebuilding,homebuilding;mortgage_services,Develops residential communities and provides mortgage and homebuilding services.
DHR,Danaher Corporation,United States,life_sciences,life_sciences;medical_devices;diagnostics,"Develops life-science technologies, diagnostics and medical equipment."
DIS,The Walt Disney Company,United States,media_entertainment,media_entertainment;theme_parks,"Produces media, entertainment, sports and consumer products, with additional activities across theme parks and streaming services."
DLR,"Digital Realty Trust, Inc.",United States,data_centres,data_centres;communications_infrastructure,"Owns, develops and operates data-centre infrastructure and digital real-estate assets."
DLTR,"Dollar Tree, Inc.",United States,retail,retail,Operates discount retail stores offering consumer and household products.
DOC,Healthpeak Properties,United States,healthcare_real_estate,healthcare_real_estate,"Owns, develops and manages healthcare-focused real-estate assets."
DOV,Dover Corporation,United States,industrial_machinery,industrial_machinery;industrial_automation,"Develops industrial equipment, engineered products and manufacturing technologies."
DOW,Dow Inc.,United States,chemicals,chemicals;industrial_materials,"Develops specialty chemicals, plastics, industrial materials and performance coatings."
DPZ,"Domino'S Pizza, Inc.",United States,restaurants,restaurants,"Operates franchised pizza restaurants, delivery and food supply-chain services."
DRI,"Darden Restaurants, Inc.",United States,restaurants,restaurants,Owns and operates full-service restaurant brands across multiple dining categories.
DTE,Dte Energy Company,United States,utilities,utilities;electricity_generation;natural_gas,"Generates, distributes and supplies electricity and natural gas, with additional activities across renewable energy and energy services."
DUK,Duke Energy Corporation,United States,utilities,utilities;electricity_generation;natural_gas,"Generates, transmits and distributes electricity and natural gas through regulated utility operations."
DVA,Davita Inc.,United States,healthcare_services,healthcare_services;dialysis,"Provides kidney care, dialysis and integrated healthcare services."
DVN,Devon Energy Corporation,United States,oil_gas,oil_gas,"Explores, develops and produces oil, natural gas and natural-gas liquids."
DXCM,"Dexcom, Inc.",United States,medical_devices,medical_devices;healthcare_technology,Develops continuous glucose monitoring technologies for diabetes management.
EA,Electronic Arts Inc.,United States,gaming,gaming;digital_content,"Develops and publishes digital games, online entertainment and interactive media services."
EBAY,Ebay Inc.,United States,digital_marketplaces,digital_marketplaces;payments,Operates global digital commerce and online marketplace platforms.
ECHO,EchoStar,United States,telecommunications,telecommunications;satellite_communications,"Provides satellite, broadband, wireless and television communications services."
ECL,Ecolab Inc.,United States,chemicals,chemicals;water_treatment,"Develops water treatment, hygiene and industrial cleaning technologies and services."
ED,"Consolidated Edison, Inc.",United States,utilities,utilities;electricity_generation;natural_gas,"Provides regulated electricity, gas and energy infrastructure services."
EFX,Equifax Inc.,United States,information_services,information_services;credit_services,"Provides consumer information, analytics, identity verification and business decision services."
EG,"Everest Group, Ltd.",United States,insurance,insurance;reinsurance,Provides insurance and reinsurance products across global commercial markets.
EIX,Edison International,United States,utilities,utilities;electricity_generation;energy_services,Provides regulated electricity services and energy advisory solutions.
EL,The Estee Lauder Companies Inc.,United States,household_products,household_products;beauty_products,"Develops, manufactures and markets skincare, cosmetics, fragrances and personal-care products."
ELV,"Elevance Health, Inc.",United States,healthcare_services,healthcare_services;health_insurance,"Provides health insurance, pharmacy and integrated healthcare services."
EME,Emcor,United States,engineering_services,engineering_services;building_services;industrial_services,"Provides electrical and mechanical engineering, construction, building and industrial services, with additional activities or exposure across facilities maintenance."
EMR,Emerson Electric Co.,United States,industrial_automation,industrial_automation;industrial_machinery,"Develops industrial automation, process control and engineering software solutions."
EOG,"Eog Resources, Inc.",United States,oil_gas,oil_gas,"Explores, develops and produces crude oil, natural gas and natural-gas liquids."
EQIX,"Equinix, Inc.",United States,data_centres,data_centres;communications_infrastructure,"Owns, develops and operates global data-centre infrastructure and interconnection services."
EQR,Equity Residential,United States,residential_real_estate,residential_real_estate,"Owns, develops and manages multifamily residential real-estate assets."
EQT,Eqt Corporation,United States,oil_gas,oil_gas;natural_gas,"Explores, produces, gathers and transports natural gas and related energy products."
ERIE,Erie Indemnity,United States,insurance,insurance,"Provides property, casualty and life insurance administration services."
ES,Eversource Energy,United States,utilities,utilities;electricity_generation;natural_gas,"Provides electricity transmission, distribution and natural-gas utility services."
ESS,"Essex Property Trust, Inc.",United States,residential_real_estate,residential_real_estate,"Owns, develops and manages multifamily residential real-estate communities."
ETN,Eaton Corporation Public Limited Company,United States,electrical_equipment,electrical_equipment;industrial_automation,"Develops electrical power management, industrial and aerospace technologies."
ETR,Entergy Corporation,United States,utilities,utilities;electricity_generation,"Generates, transmits and distributes electricity through regulated utility operations."
EVRG,"Evergy, Inc.",United States,utilities,utilities;electricity_generation,"Generates, transmits and distributes electricity through regulated utility operations."
EW,Edwards Lifesciences Corporation,United States,medical_devices,medical_devices;cardiovascular_devices,Develops structural-heart technologies and minimally invasive medical devices.
EXC,Exelon Corporation,United States,utilities,utilities;electricity_transmission,Provides regulated electricity transmission and distribution services.
EXE,Expand Energy,United States,oil_gas,oil_gas;natural_gas,"Explores, develops and produces natural gas and related energy resources."
EXPD,"Expeditors International Of Washington, Inc",United States,logistics,logistics;freight_forwarding,"Provides freight forwarding, customs brokerage and global logistics services."
EXPE,"Expedia Group, Inc.",United States,travel_services,travel_services;digital_marketplaces,"Operates digital travel booking, accommodation and tourism platforms."
EXR,Extra Space Storage Inc.,United States,self_storage,self_storage,"Owns, develops and manages self-storage real-estate assets."
F,Ford Motor Company,United States,automotive,automotive;vehicle_finance,"Designs, manufactures and markets passenger, commercial and electric vehicles."
FANG,"Diamondback Energy, Inc.",United States,oil_gas,oil_gas,"Explores, develops and produces oil and natural gas."
FAST,Fastenal Company,United States,industrial_distribution,industrial_distribution;industrial_supplies,"Distributes industrial, construction and maintenance supplies to commercial customers."
FCX,Freeport-Mcmoran Inc.,United States,mining,mining;metals,"Produces copper, gold, molybdenum and related mineral resources."
FDS,Factset Research Systems Inc.,United States,financial_information,financial_information;analytics,"Provides financial data, analytics and investment research platforms."
FDX,Fedex Corporation,United States,logistics,logistics;freight_forwarding,"Provides parcel delivery, freight transportation and global logistics services."
FDXF,FedEx Freight,United States,logistics,logistics;freight_transport,Provides less-than-truckload freight transportation and logistics services.
FE,Firstenergy Corp.,United States,utilities,utilities;electricity_generation,"Generates, transmits and distributes electricity through regulated utility operations."
FER,Ferrovial SE,United States,infrastructure,infrastructure;transportation_infrastructure,"Designs, constructs and operates transport and energy infrastructure assets."
FFIV,"F5, Inc.",United States,cybersecurity,cybersecurity;networking_equipment,"Develops application delivery, networking and cybersecurity technologies."
FICO,Fair Isaac Corporation,United States,enterprise_software,enterprise_software;financial_analytics,"Develops analytics, decision-management and credit-scoring software platforms."
FIS,"Fidelity National Information Services, Inc.",United States,financial_technology,financial_technology;payments,"Develops banking, capital markets and payment technology platforms."
FISV,Fiserv,United States,payments,payments;financial_technology,"Develops payment processing, merchant acquiring and financial technology platforms."
FITB,Fifth Third Bancorp,United States,banking,banking;wealth_management,"Provides retail, commercial and wealth-management banking services."
FIX,Comfort Systems USA,United States,engineering_services,engineering_services;building_services,"Provides mechanical, electrical and engineering construction, installation and maintenance services."
FLEX,Flex Ltd.,United States,electronics_manufacturing,electronics_manufacturing;cloud_infrastructure,"Provides electronics manufacturing, engineering and supply-chain solutions, with additional activities or exposure across cloud infrastructure."
FOX,Fox Corporation,United States,media_entertainment,media_entertainment;broadcasting,"Produces and distributes news, sports and entertainment content across television and digital platforms."
FOXA,Fox Corporation,United States,media_entertainment,media_entertainment;broadcasting,"Produces and distributes news, sports and entertainment content across television and digital platforms."
FRT,Federal Realty Investment Trust,United States,commercial_real_estate,commercial_real_estate;mixed_use_property,"Owns, develops and manages retail and mixed-use real-estate assets."
FSLR,"First Solar, Inc.",United States,renewable_energy,renewable_energy;solar_energy,"Develops, manufactures and supplies photovoltaic solar technologies and related energy solutions."
FTNT,"Fortinet, Inc.",United States,cybersecurity,cybersecurity;networking_equipment;artificial_intelligence,"Develops cybersecurity, secure networking and threat-intelligence technologies."
FTV,Fortive Corporation,United States,industrial_automation,industrial_automation;medical_devices,"Develops industrial automation, instrumentation and healthcare workflow technologies."
GD,General Dynamics Corporation,United States,aerospace_defence,aerospace_defence,"Designs, manufactures and supports aerospace, defence and naval technologies."
GDDY,GoDaddy,United States,digital_services,digital_services;web_hosting,"Provides website hosting, domain registration and digital business services."
GE,General Electric Company,United States,aerospace_defence,aerospace_defence;aerospace_propulsion,"Develops, manufactures and services aerospace propulsion systems and related technologies."
GEHC,Ge Healthcare Technologies Inc.,United States,medical_devices,medical_devices;diagnostics,"Develops medical imaging, diagnostics and healthcare technologies."
GEN,Gen Digital Inc.,United States,cybersecurity,cybersecurity;identity_protection,"Develops consumer cybersecurity, identity protection and online privacy technologies."
GEV,GE Vernova,United States,power_systems,power_systems;renewable_energy;grid_infrastructure,"Develops power-generation, grid and electrification technologies."
GILD,"Gilead Sciences, Inc.",United States,pharmaceuticals,pharmaceuticals;biotechnology,"Develops, manufactures and markets pharmaceutical products, with additional activities or exposure across biotechnology."
